date,station,river,basin,district,latitude,longitude,elevation,unit,river_discharge,data_quality_flag
2010-02-25,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.903018,0.0
2010-02-26,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.901,0.0
2010-02-27,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.811359,0.0
2010-02-28,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.816,0.0
2010-03-01,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,6.030171,0.0
2010-03-02,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.9018426,0.0
2010-03-03,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.6685786,0.0
2010-03-04,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.697102,0.0
2010-03-05,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.7509985,0.0
2010-03-06,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.7185864,0.0
2010-03-07,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.479,0.0
2010-03-08,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.581265,0.0
2010-03-09,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.374163,0.0
2010-03-10,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.352999,0.0
2010-03-11,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.369289,0.0
2010-03-12,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.358538,0.0
2010-03-13,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.290882,0.0
2010-03-14,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.313,0.0
2010-03-15,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.2933326,0.0
2010-03-16,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.224043,0.0
